Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,4.110000,4.140000,3.950000,3.970000,3.970000,2272600
2017-11-14,3.940000,4.250000,3.630000,4.040000,4.040000,6531400
2017-11-15,3.830000,3.950000,3.720000,3.820000,3.820000,3020400
2017-11-16,3.800000,3.850000,3.710000,3.760000,3.760000,1851200
2017-11-17,3.970000,4.120000,3.780000,3.860000,3.860000,4074100
2017-11-20,4.050000,4.190000,3.930000,4.150000,4.150000,4340700
2017-11-21,4.230000,4.500000,4.130000,4.370000,4.370000,7836400
2017-11-22,3.870000,4.190000,3.870000,3.950000,3.950000,5291400
2017-11-24,3.940000,4.110000,3.890000,3.990000,3.990000,1442500
2017-11-27,4.000000,4.170000,3.880000,4.120000,4.120000,3702900
2017-11-28,4.080000,4.220000,3.950000,4.000000,4.000000,2685700
2017-11-29,4.020000,4.260000,3.960000,4.120000,4.120000,4372300
2017-11-30,4.170000,4.470000,4.160000,4.250000,4.250000,4140300
2017-12-01,4.370000,4.400000,4.040000,4.150000,4.150000,2632500
2017-12-04,4.270000,4.320000,4.140000,4.230000,4.230000,2186800
2017-12-05,4.200000,4.210000,3.920000,3.950000,3.950000,3172600
2017-12-06,3.920000,4.030000,3.830000,3.850000,3.850000,1894500
2017-12-07,3.820000,4.050000,3.820000,3.910000,3.910000,1682900
2017-12-08,4.000000,4.150000,3.960000,4.020000,4.020000,1648100
2017-12-11,4.060000,4.170000,3.995000,4.070000,4.070000,1866060
